Ship Date,Order ID,Units Sold,Unit Price,Unit Cost,Total Revenue,Total Cost,Total Profit
2010-01-01,2192003737,19181,786.4499999999999,559.95,5751336.3100000005,4236426.1899999995,1514910.1199999999
2010-01-02,7245081837,65830,2050.7699999999995,1526.1100000000001,13561617.179999998,10259527.49,3302089.6900000004
2010-01-03,5655113156,53347,1334.33,906.4699999999998,6695717.66,4719849.67,1975867.99
2010-01-04,5710844309,35431,1700.84,1169.5800000000002,6651918.25,4766113.2700000005,1885804.98
2010-01-05,11981922342,130745,4042.31,2743.040000000001,20023267.730000004,12191098.610000001,7832169.120000001
2010-01-06,9607888917,68371,2995.5399999999995,2056.8999999999996,11493081.599999998,8151625.540000002,3341456.0600000005
2010-01-07,13980353726,129858,4135.28,2739.23,21288293.25,14165598.979999999,7122694.2700000005
2010-01-08,12915376961,117277,6086.879999999999,4666.200000000001,26459961.800000004,19632084.65,6827877.149999999
2010-01-09,22326023286,191765,6135.489999999997,3894.720000000002,28778484.13,18613436.919999994,10165047.21
2010-01-10,14197861645,139563,5327.349999999999,3497.8700000000013,28064294.549999997,18963017.64,9101276.91
2010-01-11,26029314160,212105,8625.719999999998,6070.22,40285678.49,27981712.71000001,12303965.780000005
2010-01-12,16808904382,180546,6659.330000000002,4469.020000000001,36832598.20000001,24443360.130000006,12389238.07
2010-01-13,30283028625,271580,8935.939999999999,5853.82,46016519.81999999,30454478.330000006,15562041.490000002
2010-01-14,27802922131,242951,10270.300000000001,6993.539999999998,49032772.75,33852955.89999999,15179816.85
2010-01-15,27634171032,260336,8887.91,6208.0199999999995,49947960.36,35180108.31,14767852.05
2010-01-16,31460258048,288473,13915.610000000002,9564.420000000006,68042867.85,48348699.769999996,19694168.080000006
2010-01-17,37423713266,340530,16337.799999999996,11339.780000000006,84411679.22000007,58724182.080000006,25687497.139999993
2010-01-18,38784989196,385455,19736.580000000013,14078.020000000006,97271295.27,68773197.61999999,28498097.649999995
2010-01-19,35997581914,330002,16180.860000000006,11096.16,79712450.92999999,56609624.77,23102826.159999993
2010-01-20,28274267874,268907,17662.080000000005,12523.47000000001,81861912.94,58074989.110000014,23786923.830000006
2010-01-21,35414323214,303076,13805.67,9902.830000000002,68672026.10000002,50235827.53,18436198.570000004
2010-01-22,48646126165,447835,27224.110000000015,19291.750000000007,140746094.11000007,100243958.61000001,40502135.499999985
2010-01-23,39947317778,313469,20495.219999999994,14905.690000000002,87347636.40999997,63017512.47999998,24330123.93
2010-01-24,54810152577,503060,34543.409999999996,25112.600000000017,172722517.43999997,126663399.25999999,46059118.18000001
2010-01-25,57768828705,494510,31016.230000000007,22671.040000000008,155345451.1800001,114932322.24,40413128.94
2010-01-26,51283347107,464397,28355.480000000018,20261.519999999997,137584862.14000002,98969688.89000003,38615173.24999998
2010-01-27,48496985436,440345,25826.160000000018,18187.59000000001,127580136.70000005,90030528.42999996,37549608.27000001
2010-01-28,46914437138,446004,24732.280000000006,17653.87000000001,126198220.90000002,89345326.02999999,36852894.87000001
2010-01-29,66074625776,588402,32943.110000000015,23497.690000000006,163241294.1,115407340.43999994,47833953.66
2010-01-30,64150746350,599725,31850.20000000001,22919.870000000003,175549070.24999997,128990508.92999996,46558561.32000001
2010-01-31,56199045380,503028,28683.840000000015,20327.76000000001,139200863.75999996,98984216.70999998,40216647.04999999
2010-02-01,56821035459,520276,26884.740000000016,18860.46000000001,134715272.28000003,93470323.65999998,41244948.62000001
2010-02-02,69812627133,568054,35055.72000000002,25054.010000000002,163147811.20999992,115319450.63999996,47828360.56999999
2010-02-03,74006578632,666610,39999.09999999998,28179.329999999998,197835869.57999998,140760811.82999998,57075057.75000002
2010-02-04,68583359397,625833,34984.67000000001,24955.219999999987,165116423.18000004,116559453.94999994,48556969.22999998
2010-02-05,63109986360,540294,31302.790000000005,21970.120000000006,155527135.03000003,108757252.19999999,46769882.829999976
2010-02-06,61758525443,576106,30780.420000000027,21551.739999999998,140241492.98999995,97076647.43000002,43164845.56
2010-02-07,63116070702,566207,25448.080000000016,17732.020000000015,114294220.32000001,78195119.11000001,36099101.21000001
